V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,y
37.33,6.5,2,7,8,4.25,1,1,12,1,2,93,1,1,0.0,0.02233048714697361,-5.5,-3050.518310546875,3.402823466385289e+38,3.4028234663852886e+38,1
45.0,8.5,2,13,8,14.0,1,1,1,1,2,88,2001,1,0.0,0.02233048714697361,7.5,-2447.80810546875,0.455689787864685,3.4028234663852886e+38,1
44.25,11.0,1,2,4,1.5,1,0,0,0,1,0,1,0,0.0,0.008214927278459072,11.0,-24.109865188598636,0.07422910630702972,3.4028234663852886e+38,1
25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1,0.0,0.02233048714697361,-4.5,-78505.21875,3.402823466385289e+38,3.4028234663852886e+38,1
43.0,0.29,1,13,8,1.75,1,1,8,0,2,100,376,1,-1.0,0.008214927278459072,-7.710000038146973,-3978.3125,3.402823466385289e+38,3.4028234663852886e+38,1
36.58,0.29,2,1,1,0.0,0,1,10,0,2,200,19,0,0.0,0.008214927278459072,-9.710000038146973,-27932.515625,3.402823466385289e+38,3.4028234663852886e+38,0
30.33,0.5,2,2,8,0.085,0,0,0,1,1,252,1,0,1.0,0.02233048714697361,0.5,-48292.69921875,-0.021457022055983543,3.4028234663852886e+38,1
24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0,1.0,0.02233048714697361,13.335000038146973,-7169.15283203125,0.21797364950180054,3.4028234663852886e+38,1
20.42,10.5,1,14,8,0.0,0,0,0,1,2,154,33,0,1.0,0.02233048714697361,10.5,-14429.58203125,0.1978611052036285,3.4028234663852886e+38,0
47.25,0.75,2,11,8,2.75,1,1,1,0,2,333,893,1,-1.0,0.008214927278459072,-0.25,-90780.6015625,3.402823466385289e+38,3.4028234663852886e+38,0
25.83,12.835,2,13,4,0.5,0,0,0,0,2,0,3,0,0.0,0.008214927278459072,12.835000038146973,-24.109865188598636,0.21475785970687866,3.4028234663852886e+38,1
19.58,0.665,1,8,4,1.0,0,1,1,0,2,2000,3,0,0.0,0.008214927278459072,-0.3350000083446503,-3879108.25,3.402823466385289e+38,3.4028234663852886e+38,0
35.0,2.5,2,3,4,1.0,0,0,0,1,2,210,1,0,1.0,0.02233048714697361,2.5,-31427.935546875,0.07710308581590652,3.4028234663852886e+38,1
57.83,7.04,2,7,4,14.0,1,1,6,1,2,360,1333,1,0.0,0.02233048714697361,1.0399999618530271,-107859.2421875,0.008870134130120277,3.4028234663852886e+38,1
23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0,1.0,0.02233048714697361,2.5,-3978.3125,0.07710308581590652,3.4028234663852886e+38,1
36.25,5.0,2,8,5,2.5,1,1,6,0,2,0,368,1,-1.0,0.008214927278459072,-1.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1,0.0,0.02233048714697361,0.5,-66591.296875,-0.15676192939281464,3.4028234663852886e+38,1
20.75,9.54,2,3,4,0.04,0,0,0,0,2,200,1001,0,0.0,0.008214927278459072,9.539999961853027,-27932.515625,0.1897929310798645,3.4028234663852886e+38,0
30.0,5.29,2,10,2,2.25,1,1,5,1,2,99,501,1,0.0,0.02233048714697361,0.2899999916553497,-3839.7705078125,-0.2799572348594665,3.4028234663852886e+38,0
27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0,1.0,0.02233048714697361,1.25,-113876.1171875,0.018776852637529373,3.4028234663852886e+38,1
35.17,25.125,2,14,8,1.625,1,1,1,1,2,515,501,1,0.0,0.02233048714697361,24.125,-234113.25,0.7199223637580872,3.4028234663852886e+38,1
