id,num,name,address,latitude,longitude,stands,maxstands
1,126,126_AVENIDA REINA MERCEDES,AVENIDA REINA MERCEDES - Aprox. Facultad de Informática,37.3581648588394,-5.98648270871318,25,25
2,73,073_PLAZA SAN AGUSTIN,PLAZA SAN AGUSTIN - Aprox. C/ Concepción,37.3895138623143,-5.98436278954562,15,15
3,96,096_CALLE BETIS,CALLE BETIS - Aprox. C/ Juan de Lugo,37.3835407311529,-5.99991072282225,19,19
4,256,256_MIGUEL MONTORO,Esquina Calle Pero Mingo,37.3861004967786,-5.9100909196767,29,29
5,82,082_CALLE LUIS MONTOTO,CALLE LUIS MONTOTO - Aprox. C/ Maese Farfán,37.3870984770164,-5.97484314721458,17,17
6,226,226_AVENIDA DOCTOR EMILIO LEMOS,AVENIDA DOCTOR EMILIO LEMOS - Aprox. C/ de Birmania,37.4028628717453,-5.92175367632774,15,15
7,103,103_AVENIDA EDUARDO DATO,AVENIDA EDUARDO DATO - Aprox. C/ San Bernardo,37.3844324634786,-5.98273817337138,20,20
8,16,016_CALLE DE MANUEL VILLALOBOS,CALLE DE MANUEL VILLALOBOS - Aprox. C/ Sor Francisca Dorotea,37.4070507994511,-5.98243050581938,20,20
9,209,209_AVENIDA ALEMANIA,AVENIDA ALEMANIA - Aprox. Glorieta Chekia,37.3453173116431,-5.98265615036839,15,15
10,26,026_AVENIDA DE MIRAFLORES,AVENIDA DE MIRAFLORES - Aprox. C/ Manuel Ródenas,37.4024945374132,-5.97767816602457,17,17
11,221,221_AVENIDA ALCALDE LUIS URUÑUELA,AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Hotel Sevilla Congresos,37.4056085629786,-5.93052400216402,15,15
12,128,128_VIRGEN DE LORETO,Virgen de Loreto - Aprox. C/ Arcos,37.3764534250525,-6.00063223155936,18,18
13,9,009_CAMINO DE LOS DESCUBRIMIENTOS,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. C/ Albert Einstein,37.4033245311028,-6.00402025891258,20,20
14,77,077_PLAZA CHAPINA,PLAZA CHAPINA - Aprox. Hotel Abba Triana,37.3896294751232,-6.00758126354094,20,20
15,87,087_PLAZA NUEVA,PLAZA NUEVA - Aprox. C/ Tetuan,37.3889664769747,-5.99529422003855,40,40
16,36,036_CALLE SAN VICENTE,CALLE SAN VICENTE - Aprox. C/ Guadalquivir,37.400500521881,-5.9984032375813,20,20
17,220,220_AVENIDA ALCALDE LUIS URUÑUELA,AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Centro Comercial Zona Este,37.4051895618527,-5.9357800206164,30,30
18,154,154_AVENIDA KANSAS CITY,AVENIDA KANSAS CITY - Aprox. C/ Naranjito de Triana,37.3948365102463,-5.96842612917054,20,20
19,24,024_CALLE LEÓN XIII,CALLE LEÓN XIII - Aprox. C/ Fray Isidoro de Sevilla,37.4040355410348,-5.98459219116038,15,15
20,195,195_CALLE CORRAL DEL AGUA,CALLE CORRAL DEL AGUA - Aprox. Camino de los toros,37.4217156162842,-5.97164815591452,20,20
21,169,169_AVENIDA RAMÓN Y CAJAL,AVENIDA RAMÓN Y CAJAL - Aprox. C/ Villegas Marmolejo,37.3765014355216,-5.97266713346291,20,20
22,211,211_AVENIDA DE ALEMANIA,AVENIDA DE ALEMANIA - Aprox. Glorieta de Letonia,37.3462023107095,-5.97620012853706,15,15
23,125,125_AVENIDA SAN FRANCISCO JAVIER,AVENIDA SAN FRANCISCO JAVIER - Aprox. Avda De Ramón y Cajal,37.3774064383128,-5.97490014181884,15,15
24,148,148_CALLE THARSIS,CALLE THARSIS - Aprox. C/ Aorno,37.3987676756727,-5.9731823959266,20,20
25,122,122_CALLE ENRAMADILLA,CALLE ENRAMADILLA - Aprox. C/ Balbino Marrón,37.378484441333,-5.97838915468113,20,20
26,192,192_AVENIDA DE ALVAR NUÑEZ,AVENIDA DE ALVAR NUÑEZ - Aprox. C/ Collante,37.3783344285566,-6.0115562709904,19,19
27,101,101_PRADO DE SAN SEBASTIAN,PRADO DE SAN SEBASTIAN - Estación de autobuses,37.3811156818535,-5.98694975127945,40,40
28,246,246_PUERTO DE LOS AZORES,PUERTO DE LOS AZORES - Aprox. C/ Paulo Orosio,37.3761390624557,-5.95501731701433,15,15
