num,name,address,latitude,longitude,stands,clase
1,001_GLORIETA OLIMPICA,GLORIETA OLIMPICA - Aprox. Concejal Alberto Jiménez-Becerril,37.4129235511391,-5.98890593824315,20,1
2,002_GRAN PLAZA,GRAN PLAZA - Aprox. Calle Marquez de Pickman,37.3815780453279,-5.96522396639778,18,2
3,003_PUERTA DE LA BARQUETA,PUERTA DE LA BARQUETA - Aprox. Puente de la Barqueta,37.40564154237,-5.99848824083126,40,3
4,004_CALLE LEONARDO DA VINCI,CALLE LEONARDO DA VINCI - Aprox C/ Thomas Alba Edison,37.4101115575738,-6.0057222687774,40,3
5,005_CAMINO DE LOS DESCUBRIMIENTOS,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. C/ Thomás Alba Edison,37.411043562665,-6.0019592561078,40,3
6,006_CAMINO DE LOS DESCUBRIMIENTOS,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. Calle Isaac Newton,37.406613789811,-6.0029779475816,20,3
7,007_CALLE AMÉRICO VESPUCIO,CALLE AMÉRICO VESPUCIO - Aprox. Calle de Jacques Cousteau,37.4074694906696,-6.00760335040336,20,3
8,008_CALLE AMERICO VESPUCIO,CALLE AMERICO VESPUCIO - Aprox. C/ Gregor Mendel,37.4009693828541,-6.00938173537619,20,3
9,009_CAMINO DE LOS DESCUBRIMIENTOS,CAMINO DE LOS DESCUBRIMIENTOS - Aprox. C/ Albert Einstein,37.4033245311028,-6.00402025891258,20,3
10,010_CALLE JOSE DIAZ,CALLE JOSE DIAZ - Aprox. Avda Concejal Alberto Jiménez-Becerril,37.4093850256092,-5.99076600871424,20,4
11,011_ALBERTO JIMÉNEZ BECERRIL,Avda Alberto Jiménez Becerril - Antes Calle Maimonides,37.4071428838914,-5.99259029973418,20,4
12,012_PLAZA DUQUESA DE ALBA,PLAZA DUQUESA DE ALBA - Puente de la Barqueta,37.4038695366056,-5.99490422724963,30,4
13,013_CALLE FERIA,CALLE FERIA - Aprox. C/ Resolana,37.403133534759,-5.99191821634103,15,4
14,014_AVENIDA SANCHEZ PIZJUAN,AVENIDA SANCHEZ PIZJUAN - Facultad de Medicina,37.4064737057759,-5.98911873908845,40,1
